timestamp,open,high,low,close,volume
2024-12-11 04:50:00,3669.70000,3673.19000,3668.05000,3671.41000,92
2024-12-11 04:45:00,3663.22000,3671.53000,3658.24000,3669.94000,244
2024-12-11 04:40:00,3670.63000,3671.70000,3663.22000,3663.23000,188
2024-12-11 04:35:00,3669.69000,3673.00000,3665.22000,3670.63000,203
2024-12-11 04:30:00,3666.76000,3674.96000,3663.05000,3669.70000,171
2024-12-11 04:25:00,3668.24000,3669.17000,3664.11000,3667.11000,234
2024-12-11 04:20:00,3664.48000,3674.01000,3664.38000,3668.62000,242
2024-12-11 04:15:00,3667.28000,3669.07000,3663.99000,3664.20000,137
2024-12-11 04:10:00,3666.61000,3669.22000,3661.16000,3667.15000,133
2024-12-11 04:05:00,3674.46000,3679.17000,3665.13000,3666.56000,231
2024-12-11 04:00:00,3666.61000,3682.17000,3666.23000,3674.45000,639
2024-12-11 03:55:00,3666.28000,3669.60000,3661.82000,3666.23000,261
2024-12-11 03:50:00,3662.47000,3668.24000,3660.64000,3666.31000,170
2024-12-11 03:45:00,3664.74000,3666.06000,3657.93000,3662.21000,155
2024-12-11 03:40:00,3664.49000,3665.54000,3656.87000,3664.63000,143
2024-12-11 03:35:00,3664.55000,3667.96000,3660.52000,3664.26000,228
2024-12-11 03:30:00,3663.32000,3666.42000,3656.89000,3664.20000,198
2024-12-11 03:25:00,3661.43000,3667.26000,3659.89000,3663.37000,142
2024-12-11 03:20:00,3668.30000,3668.30000,3655.31000,3661.57000,211
2024-12-11 03:15:00,3663.77000,3670.89000,3663.77000,3668.57000,327
2024-12-11 03:10:00,3667.15000,3667.87000,3656.86000,3664.04000,392
2024-12-11 03:05:00,3657.43000,3668.98000,3657.43000,3668.04000,547
2024-12-11 03:00:00,3653.23000,3665.50000,3650.04000,3656.93000,449
2024-12-11 02:55:00,3643.42000,3654.75000,3639.22000,3653.78000,209
2024-12-11 02:50:00,3648.04000,3650.08000,3640.86000,3643.42000,332
2024-12-11 02:45:00,3648.13000,3660.13000,3635.76000,3649.17000,774
2024-12-11 02:40:00,3636.34000,3651.39000,3635.43000,3648.94000,388
2024-12-11 02:35:00,3621.75000,3636.96000,3620.52000,3636.34000,582
2024-12-11 02:30:00,3609.09000,3628.72000,3604.43000,3621.40000,784
2024-12-11 02:25:00,3601.18000,3613.39000,3600.34000,3608.71000,650
2024-12-11 02:20:00,3596.82000,3602.74000,3594.52000,3601.33000,317
2024-12-11 02:15:00,3584.43000,3597.54000,3581.34000,3596.54000,681
2024-12-11 02:10:00,3592.32000,3592.67000,3580.54000,3584.22000,232
2024-12-11 02:05:00,3572.21000,3594.98000,3572.21000,3592.65000,492
2024-12-11 02:00:00,3569.39000,3576.02000,3564.36000,3572.15000,432
2024-12-11 01:55:00,3574.69000,3578.50000,3567.65000,3569.37000,604
2024-12-11 01:50:00,3600.38000,3601.49000,3573.57000,3574.05000,340
2024-12-11 01:45:00,3590.67000,3604.26000,3590.10000,3600.44000,242
2024-12-11 01:40:00,3606.69000,3608.09000,3587.62000,3589.87000,544
2024-12-11 01:35:00,3584.48000,3606.97000,3584.48000,3606.73000,325
2024-12-11 01:30:00,3571.30000,3588.75000,3571.30000,3584.32000,388
2024-12-11 01:25:00,3587.73000,3593.11000,3567.57000,3570.96000,875
2024-12-11 01:20:00,3611.09000,3611.12000,3585.74000,3587.05000,469
2024-12-11 01:15:00,3598.92000,3615.59000,3593.60000,3610.69000,380
2024-12-11 01:10:00,3600.11000,3604.71000,3588.92000,3598.70000,321
2024-12-11 01:05:00,3603.66000,3614.47000,3595.77000,3600.20000,234
2024-12-11 01:00:00,3613.35000,3613.74000,3593.88000,3604.32000,364
2024-12-11 00:55:00,3613.08000,3619.95000,3610.01000,3613.64000,423
2024-12-11 00:50:00,3599.13000,3617.47000,3598.26000,3613.13000,371
2024-12-11 00:45:00,3588.18000,3606.51000,3582.84000,3598.85000,640
2024-12-11 00:40:00,3600.89000,3605.00000,3584.34000,3588.10000,585
2024-12-11 00:35:00,3607.92000,3614.69000,3600.39000,3600.89000,540
2024-12-11 00:30:00,3618.24000,3623.94000,3607.77000,3607.91000,516
2024-12-11 00:25:00,3621.37000,3623.17000,3615.00000,3618.34000,341
2024-12-11 00:20:00,3624.17000,3636.81000,3617.87000,3621.61000,465
2024-12-11 00:15:00,3631.89000,3633.62000,3618.01000,3624.16000,424
2024-12-11 00:10:00,3639.41000,3640.39000,3631.52000,3631.89000,286
2024-12-11 00:05:00,3634.14000,3640.51000,3630.72000,3639.69000,364
2024-12-11 00:00:00,3630.37000,3636.17000,3626.43000,3634.02000,475
2024-12-10 23:55:00,3625.10000,3634.09000,3624.66000,3630.34000,327
2024-12-10 23:50:00,3627.26000,3631.41000,3623.72000,3625.48000,575
2024-12-10 23:45:00,3622.89000,3627.19000,3613.92000,3627.19000,500
2024-12-10 23:40:00,3626.75000,3633.38000,3620.83000,3623.38000,316
2024-12-10 23:35:00,3640.86000,3647.61000,3626.44000,3626.83000,650
2024-12-10 23:30:00,3637.01000,3641.97000,3633.31000,3640.87000,195
2024-12-10 23:25:00,3636.25000,3639.61000,3635.55000,3637.01000,117
2024-12-10 23:20:00,3647.03000,3648.99000,3635.85000,3636.35000,240
2024-12-10 23:15:00,3634.49000,3648.16000,3633.58000,3647.11000,303
2024-12-10 23:10:00,3642.92000,3650.00000,3633.02000,3634.48000,245
2024-12-10 23:05:00,3647.97000,3655.24000,3642.85000,3643.08000,226
2024-12-10 23:00:00,3635.37000,3654.26000,3634.54000,3648.19000,251
2024-12-10 22:55:00,3642.48000,3642.48000,3633.73000,3635.37000,272
2024-12-10 22:50:00,3642.60000,3645.53000,3641.61000,3642.41000,224
2024-12-10 22:45:00,3639.65000,3645.00000,3639.59000,3642.57000,174
2024-12-10 22:40:00,3648.94000,3648.94000,3639.50000,3640.01000,220
2024-12-10 22:35:00,3652.88000,3657.95000,3646.21000,3648.95000,151
2024-12-10 22:30:00,3648.89000,3657.92000,3647.14000,3652.91000,415
2024-12-10 22:25:00,3642.05000,3649.17000,3641.40000,3648.90000,445
2024-12-10 22:20:00,3635.66000,3642.60000,3635.10000,3642.05000,362
2024-12-10 22:15:00,3639.98000,3641.58000,3631.16000,3636.10000,370
2024-12-10 22:10:00,3653.53000,3654.94000,3635.12000,3639.98000,700
2024-12-10 22:05:00,3651.84000,3655.60000,3649.00000,3653.53000,257
2024-12-10 22:00:00,3640.40000,3653.79000,3639.64000,3651.64000,315
2024-12-10 21:55:00,3648.98000,3649.36000,3632.03000,3639.92000,609
2024-12-10 21:50:00,3654.40000,3655.51000,3642.71000,3648.68000,606
2024-12-10 21:45:00,3650.07000,3654.36000,3646.63000,3654.36000,322
2024-12-10 21:40:00,3658.48000,3659.94000,3647.16000,3650.07000,620
2024-12-10 21:35:00,3659.71000,3664.29000,3646.84000,3658.34000,519
2024-12-10 21:30:00,3663.51000,3675.02000,3659.25000,3659.83000,841
2024-12-10 21:25:00,3655.33000,3669.00000,3654.87000,3663.22000,612
2024-12-10 21:20:00,3656.16000,3660.66000,3651.82000,3655.46000,422
2024-12-10 21:15:00,3663.65000,3667.96000,3651.82000,3656.35000,735
2024-12-10 21:10:00,3657.78000,3667.51000,3656.32000,3663.65000,1078
2024-12-10 21:05:00,3656.44000,3665.49000,3652.70000,3657.77000,1361
2024-12-10 21:00:00,3649.06000,3658.31000,3645.24000,3656.34000,2558
2024-12-10 20:55:00,3642.73000,3661.35000,3634.36000,3649.62000,4269
2024-12-10 20:50:00,3649.32000,3657.00000,3641.93000,3642.55000,1516
2024-12-10 20:45:00,3643.08000,3651.62000,3633.30000,3649.32000,1491
2024-12-10 20:40:00,3645.59000,3647.30000,3641.06000,3643.08000,1507
2024-12-10 20:35:00,3652.52000,3652.52000,3640.35000,3645.59000,1356
